"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BA","BZN|RS","130.73"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BG","BZN|RS","42.20"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|HR","BZN|RS","211.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|HU","BZN|RS","321.64"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|ME","160.12"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ME","BZN|RS","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|MK","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|MK","BZN|RS","73.95"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|RO","133.48"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RO","BZN|RS","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|XK*","402.18"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|XK*","BZN|RS","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BA","BZN|RS","16.29"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BG","BZN|RS","100.56"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RS","BZN|HR","0.00"
