year,source,target,flow_mw,flow_twh
2019,CZ,SK,10130260.57,10.13026057
2019,DE-LU,PL,10070871.37,10.070871369999999
2019,CZ,AT,9297099.9,9.297099900000001
2019,SK,HU,8752116.46,8.752116460000002
2019,HU,HR,8317288.04,8.31728804
2019,BA,ME,7125603.38,7.12560338
2019,AT,HU,6235175.53,6.23517553
2019,AT,SI,5781192.3,5.7811923
2019,DE-LU,CZ,5602531.86,5.60253186
2019,SI,IT-North,5140954.19,5.14095419
2019,RO,BG,4516975.92,4.51697592
2019,BG,GR,4445670.0,4.44567
2019,BG,MK,4432275.14,4.43227514
2019,SI,HR,4420592.0,4.420592
2019,UA,HU,3825607.02,3.82560702
2019,PL,SK,3243436.1,3.2434361000000003
2019,SE4,PL,3076395.33,3.07639533
2019,IT-South,GR,3027927.0,3.027927
2019,PL,CZ,2938870.98,2.93887098
2019,SK,UA,2936329.22,2.93632922
2019,MK,GR,2685944.0,2.685944
2019,TR,GR,2670876.0,2.670876
2019,RU-KGD,LT,2669207.0,2.669207
2019,BG,RS,2654201.64,2.65420164
2019,HR,SI,2282028.0,2.282028
2019,LT,PL,2279314.58,2.27931458
2019,RS,MK,2205556.05,2.2055560499999998
2019,ME,AL,2174036.86,2.1740368599999997
2019,UA,RO,1978767.48,1.97876748
2019,BG,TR,1935194.8,1.9351948
2019,HU,RO,1893000.76,1.89300076
2019,CZ,DE-LU,1651104.67,1.6511046699999998
2019,BA,HR,1629734.0,1.629734
2019,BA,RS,1584914.72,1.58491472
2019,RU,UA-IPS,1442093.0,1.442093
2019,UA-DobTPP,PL,1376823.94,1.37682394
2019,UA,PL,1376823.94,1.37682394
2019,BG,RO,1102306.72,1.10230672
2019,RS,BA,1038919.88,1.03891988
2019,RO,RS,995188.03,0.99518803
2019,UA-IPS,BY,973421.0,0.973421
2019,RS,HR,816000.0,0.816
2019,ME,RS,782888.6,0.7828885999999999
2019,GR,AL,763529.0,0.763529
2019,HU,RS,761198.77,0.76119877
2019,HR,RS,718414.0,0.718414
2019,HR,BA,673197.0,0.673197
2019,UA,MD,605174.0,0.605174
2019,UA-IPS,MD,605174.0,0.605174
2019,RS,RO,524995.02,0.52499502
2019,RS,ME,523626.2,0.5236262
2019,RS,HU,490575.38,0.49057538
2019,AL,GR,453639.0,0.453639
2019,BY,UA-IPS,430853.0,0.430853
2019,PL,LT,383581.94,0.38358194
2019,UA-IPS,RU,356694.0,0.356694
2019,AL,RS,272738.7,0.2727387
2019,GR,MK,217263.0,0.217263
2019,CZ,PL,201098.14,0.20109814
2019,HR,HU,199323.24,0.19932323999999998
2019,RS,AL,195176.0,0.195176
2019,PL,SE4,187656.4,0.1876564
2019,IT-North,SI,169553.29,0.16955329
2019,RS,BG,151227.56,0.15122756
2019,SI,AT,148470.73,0.14847073000000002
2019,MK,RS,145052.25,0.14505225
2019,RO,HU,144281.84,0.14428184
2019,ME,BA,109222.66,0.10922266
