"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|AL","BZN|GR","161.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|AL","BZN|ME","6.92"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ME","BZN|AL","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|AL","BZN|XK*","176.70"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|AL","BZN|GR","206.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|AL","BZN|ME","27.56"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|ME","BZN|AL","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|AL","BZN|XK*","193.92"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|AL","BZN|GR","202.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|AL","BZN|ME","51.26"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|ME","BZN|AL","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|AL","BZN|XK*","183.58"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|AL","BZN|GR","266.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|AL","BZN|ME","18.13"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|ME","BZN|AL","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|AL","BZN|XK*","190.81"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|AL","BZN|GR","289.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|ME","BZN|AL","13.02"
