"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|BY","104.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BY","BZN|UA-IPS","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|MD","BZN|UA-IPS","13.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RU","BZN|UA-IPS","32.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|BY","1.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BY","BZN|UA-IPS","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|MD","BZN|UA-IPS","4.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RU","BZN|UA-IPS","262.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|UA-IPS","BZN|BY","189.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BY","BZN|UA-IPS","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|HU","BZN|UA-IPS","n/e"
