"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BG","BZN|MK","335.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MK","BZN|GR","476.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|MK","543.17"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MK","BZN|XK*","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|XK*","BZN|MK","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BG","BZN|MK","348.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MK","BZN|GR","471.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|MK","504.26"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MK","BZN|XK*","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|XK*","BZN|MK","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BG","BZN|MK","340.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MK","BZN|GR","442.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|MK","479.27"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MK","BZN|XK*","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|XK*","BZN|MK","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BG","BZN|MK","329.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MK","BZN|GR","442.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|MK","476.75"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MK","BZN|XK*","n/e"
