"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|AT","BZN|SI","693.11"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|HR","235.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|SI","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|IT-North","677.75"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|AT","BZN|SI","813.02"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|SI","88.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|IT-North","1180.10"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|AT","BZN|SI","681.92"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SI","BZN|HR","0.00"
