"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|BG","741.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|RO","315.56"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|RS","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|RO","57.52"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|UA","BZN|RO","590.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|BG","860.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|RO","277.30"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|RS","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|RO","54.37"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|UA","BZN|RO","574.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|BG","719.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|RO","258.53"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|RS","12.80"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|UA","BZN|RO","534.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|BG","714.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|RO","248.74"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|RS","87.91"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|UA","BZN|RO","456.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|BG","727.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|RO","291.86"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|RS","285.69"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|UA","BZN|RO","516.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|BG","712.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HU","BZN|RO","249.98"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|RS","343.12"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|UA","BZN|RO","451.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|BG","752.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HU","BZN|RO","170.71"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|RS","418.24"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|UA","BZN|RO","352.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|BG","830.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HU","BZN|RO","122.78"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|RS","373.33"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|UA","BZN|RO","274.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|BG","880.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HU","BZN|RO","91.19"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|RS","328.78"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|UA","BZN|RO","224.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|BG","892.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HU","BZN|RO","26.50"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|RS","367.13"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|UA","BZN|RO","162.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|BG","925.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|HU","42.97"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HU","BZN|RO","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|RS","344.36"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|UA","BZN|RO","85.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|BG","1053.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|HU","111.81"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HU","BZN|RO","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|RS","346.07"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|UA","BZN|RO","23.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|BG","1132.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|HU","97.83"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HU","BZN|RO","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|MD","n/e"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|MD","BZN|RO","n/e"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|RS","258.73"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|UA","BZN|RO","12.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|RO","BZN|BG","1128.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|RO","BZN|HU","58.08"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HU","BZN|RO","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|RO","BZN|MD","n/e"
